Datetime,Calories,CHO,FAT,PRO
2020-08-19T00:00:00Z,3323.3999999999996,209.39999999999998,180.2,122.2
2020-08-20T00:00:00Z,380,73,5,10
2020-08-23T00:00:00Z,992,115,16.6,38.2
2020-08-24T00:00:00Z,1903,244.3,52.900000000000006,57.3
2020-08-25T00:00:00Z,2252,206,127,74
2020-08-26T00:00:00Z,1779.5,193.1,77.00000000000001,82.9
2020-08-27T00:00:00Z,3009,293.2,146,99.9
2020-08-28T00:00:00Z,2742.8,377.4,90.9,71
2020-08-29T00:00:00Z,1670.4,65.7,84.5,76.4
2020-08-30T00:00:00Z,2540.3999999999996,243.2,103,82.9
2020-08-31T00:00:00Z,1050.5,102.3,41.2,65.9
2020-09-01T00:00:00Z,1472.2,151.4,62.900000000000006,80.3
2020-09-02T00:00:00Z,2467.9,198.8,97.2,90.4
2020-09-03T00:00:00Z,2783,291.2,109,89.5
2020-09-04T00:00:00Z,2188.7,262.7,69.5,68.7
2020-09-05T00:00:00Z,3266.7,168.8,185.8,184.7
2020-09-06T00:00:00Z,3769.1,331.9,230.8,113.5
2020-09-07T00:00:00Z,3726.6,359.1,176.5,171.5
2020-09-08T00:00:00Z,2945.8,355.1,128.5,112.1
2020-09-09T00:00:00Z,4348.799999999999,432.3,209.8,135
2020-09-10T00:00:00Z,3325.9,338.1,153.7,95.4
2020-09-11T00:00:00Z,1905,198,93,78
2020-09-12T00:00:00Z,1504.1,129.2,66.5,61.5
2020-09-13T00:00:00Z,3085.4,526.5,53.3,86.8
2020-09-14T00:00:00Z,1743.7,136.5,84.69999999999999,110.2
2020-09-15T00:00:00Z,1750,215.3,53.1,62.9
2020-09-16T00:00:00Z,2103.8,169.1,77.3,67.2
2020-09-17T00:00:00Z,3848.6,361.9,176.2,178.2
2020-09-18T00:00:00Z,2622.8,266.3,93.9,134.00000000000003
2020-09-19T00:00:00Z,4441.2,470.70000000000005,225.8,141.10000000000002
2020-09-20T00:00:00Z,2519,217.1,109.8,94.1
2020-09-21T00:00:00Z,2598.6,278.5,128,111.10000000000001
2020-09-22T00:00:00Z,2724.5,235.4,138.3,116.30000000000001
2020-09-23T00:00:00Z,1867.6,137.2,67.2,195.7
2020-09-24T00:00:00Z,2623.8999999999996,165,102.3,276
2020-09-25T00:00:00Z,1481.6,152.1,60.5,85.2
2020-09-26T00:00:00Z,2263.7,196.3,88.39999999999999,148.1
2020-09-27T00:00:00Z,4400.7,468.3,219,124.1
2020-09-28T00:00:00Z,4950.7,436.2,252.10000000000002,137.39999999999998
2020-09-29T00:00:00Z,3196,379.2,102.4,129
2020-09-30T00:00:00Z,1932.2,151.7,78.3,97.7
2020-10-01T00:00:00Z,2233.1000000000004,206,80.30000000000001,121.50000000000001
2020-10-02T00:00:00Z,2473.2,250.2,88.8,108.9
2020-10-03T00:00:00Z,3422.6,404.8,108.49999999999999,105.4
2020-10-04T00:00:00Z,2277.1,249.2,103.2,102.5
2020-10-05T00:00:00Z,2644.7,270.3,94.4,87.8
